id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jx9SAAQ,,,
a0640000002jx9tAAA,72,40,0
a0640000002jx9uAAA,313,182,0
a0640000002jx9UAAQ,,,
a0640000002jx9vAAA,421,242,0
a0640000002jx9VAAQ,,,
a0640000002jx9wAAA,,,
a0640000002jx9WAAQ,,,
a0640000002jx9xAAA,,,
a0640000002jx9XAAQ,,,
a0640000002jx9yAAA,,,
a0640000002jx9zAAA,,,
a0640000002jx9ZAAQ,71,46,0
a0640000002jxA0AAI,,,
a0640000002jxA1AAI,,,
a0640000002jxA2AAI,,,
a0640000002jxA3AAI,,,
a0640000002jxA6AAI,,,
a0640000002jxA7AAI,,,
a0640000002jxA8AAI,,,
a0640000002jxA9AAI,,,
a0640000002jxAaAAI,232,77,0
a0640000002jxAAAAY,79,35,0
a0640000002jxABAAY,,,
a0640000002jxACAAY,21,16,0
a0640000002jxAdAAI,,,
a0640000002jxADAAY,,,
a0640000002jxAeAAI,11,8,0
a0640000002jxAFAAY,67,40,0
a0640000002jxAgAAI,,,
a0640000002jxAGAAY,,,
a0640000002jxAhAAI,,,
a0640000002jxAHAAY,,,
a0640000002jxAiAAI,,,
a0640000002jxAIAAY,,,
a0640000002jxAjAAI,207,179,0
a0640000002jxAJAAY,,,
a0640000002jxAkAAI,,,
a0640000002jxAKAAY,,,
a0640000002jxAlAAI,,,
a0640000002jxALAAY,,,
a0640000002jxAmAAI,,,
a0640000002jxAMAAY,,,
a0640000002jxAPAAY,,,
a0640000002jxAqAAI,,,
a0640000002jxAQAAY,,,
a0640000002jxAsAAI,,,
a0640000002jxASAAY,,,
a0640000002jxAtAAI,,,
a0640000002jxAuAAI,,,
a0640000002jxAvAAI,,,
a0640000002jxAWAAY,,,
a0640000002jxAxAAI,22,19,0
a0640000002jxAXAAY,79,43,0
a0640000002jxAYAAY,,,
a0640000002jxAZAAY,,,
a0640000002jxB2AAI,93,52,0
a0640000002jxB3AAI,,,
a0640000002jxB4AAI,,,
a0640000002jxB5AAI,,,
a0640000002jxB6AAI,,,
a0640000002jxB8AAI,,,
a0640000002jxBAAAY,,,
a0640000002jxBbAAI,,,
a0640000002jxBBAAY,,,
a0640000002jxBCAAY,26,17,0
a0640000002jxBDAAY,,,
a0640000002jxBEAAY,,,
a0640000002jxBGAAY,,,
a0640000002jxBHAAY,,,
a0640000002jxBiAAI,23,14,0
a0640000002jxBIAAY,,,
a0640000002jxBJAAY,8,6,0
a0640000002jxBLAAY,,,
a0640000002jxBMAAY,,,
a0640000002jxBnAAI,,,
a0640000002jxBoAAI,,,
a0640000002jxBOAAY,,,
a0640000002jxBqAAI,37,16,0
a0640000002jxBrAAI,,,
a0640000002jxBsAAI,,,
a0640000002jxBVAAY,,,
a0640000002jxBWAAY,,,
a0640000002jxBXAAY,,,
a0640000002jYWAAA2,,,
a0640000002jYWaAAM,469,209,0
a0640000002jYWBAA2,392,255,0
a0640000002jYWbAAM,85,62,0
a0640000002jYWCAA2,208,168,0
a0640000002jYWcAAM,12,8,0
a0640000002jYWDAA2,1921,1068,0
a0640000002jYWdAAM,133,78,0
a0640000002jYWEAA2,251,193,0
a0640000002jYWeAAM,,,
a0640000002jYWFAA2,100,80,0
a0640000002jYWfAAM,444,209,0
a0640000002jYWGAA2,150,107,0
a0640000002jYWgAAM,106,74,0
a0640000002jYWHAA2,95,79,0
a0640000002jYWhAAM,657,493,0
a0640000002jYWIAA2,284,99,0
a0640000002jYWiAAM,,,
a0640000002jYWJAA2,1803,604,0
a0640000002jYWjAAM,1739,673,0
a0640000002jYWKAA2,219,152,0
a0640000002jYWkAAM,354,204,0
a0640000002jYWLAA2,105,80,0
a0640000002jYWlAAM,,,
a0640000002jYWMAA2,1114,493,0
a0640000002jYWNAA2,87,83,0
a0640000002jYWOAA2,341,255,0
a0640000002jYWoAAM,173,83,0
a0640000002jYWPAA2,22,15,0
a0640000002jYWpAAM,192,162,0
a0640000002jYWQAA2,1779,827,0
a0640000002jYWqAAM,170,102,0
a0640000002jYWRAA2,138,99,0
a0640000002jYWrAAM,40,35,0
a0640000002jYWSAA2,15,14,0
a0640000002jYWsAAM,,,
a0640000002jYWTAA2,442,355,0
a0640000002jYWUAA2,238,220,0
a0640000002jYWuAAM,316,245,0
a0640000002jYWVAA2,237,176,0
a0640000002jYWvAAM,51,36,0
a0640000002jYWWAA2,270,210,0
a0640000002jYWwAAM,270,229,0
a0640000002jYWXAA2,100,77,0
a0640000002jYWxAAM,1134,405,0
a0640000002jYWyAAM,79,59,0
a0640000002jYWZAA2,1657,762,0
a0640000002jYWzAAM,116,80,0
a0640000002jYX0AAM,18,14,0
a0640000002jYX1AAM,,,
a0640000002jYX2AAM,194,153,0
a0640000002jYX3AAM,856,754,0
a0640000002jYX4AAM,119,43,0
a0640000002jYX6AAM,490,442,0
a0640000002jYX8AAM,123,114,0
a0640000002jYX9AAM,133,58,0
a0640000002jYXaAAM,,,
a0640000002jYXBAA2,142,112,0
a0640000002jYXCAA2,333,148,0
a0640000002jYXcAAM,146,125,0
